,node_id,altid,facilitytype,commonname,facilitydetail,flowcontrol,infiltrated,waterquality,flowcontroltype,waterqualitytype,facility_type,design_storm_depth_inches,tributary_area_tc_min,total_volume_cuft,area_sqft,inf_rate_inhr,retention_volume_cuft,media_filtration_rate_inhr,hsg,minimum_retention_pct_override,treatment_rate_cfs,depth_ft,captured_pct,retained_pct
340,SWFA-101708,SWFA-101708,Trench,Burlington Way,Infiltration,,Full,,,,infiltration_simple,,,,,,,,,,,,91,91
341,SWFA-100545,SWFA-100545,Trench,Burlington Way,Infiltration,,Full,,,,infiltration_simple,,,,,,,,,,,,91,91
342,SWFA-100546,SWFA-100546,Trench,Burlington Way,Infiltration,,Full,,,,infiltration_simple,,,,,,,,,,,,91,91
343,SWFA-100547,SWFA-100547,Vault,,Conveyance,,,,,,no_treatment,,,,,,,,,,,,91,0
344,SWFA-100549,SWFA-100549,Vault,,Conveyance,,,,,,no_treatment,,,,,,,,,,,,91,0
345,SWFA-100550,SWFA-100550,Vault,,Conveyance,,,,,,no_treatment,,,,,,,,,,,,91,0
346,SWFA-100551,SWFA-100551,Media Filter,Theresa Estates,FloGard Perk Filter,,,,,Basic,media_filter_simple,,,,,,,,,,,,91,0
347,SWFA-100552,SWFA-100552,Media Filter,,Stormfilter,,,,,Basic,media_filter_simple,,,,,,,,,,,,91,0
348,SWFA-100553,SWFA-100553,Media Filter,Nalley Valley,FloGard Perk Filter,,,,,Basic,media_filter_simple,,,,,,,,,,,,91,0
349,SWFA-100561,SWFA-100561,Vault,,Conveyance,,,,,Basic,no_treatment,,,,,,,,,,,,91,0
350,SWFA-100597,SWFA-100597,Bioretention,TACOMA SCHOOLS GEIGER ELEMENTARY,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
351,SWFA-100598,SWFA-100598,Bioretention,TACOMA SCHOOLS GEIGER ELEMENTARY,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
352,SWFA-100599,SWFA-100599,Bioretention,TACOMA SCHOOLS GEIGER ELEMENTARY,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
353,SWFA-100600,SWFA-100600,Media Filter,TACOMA SCHOOLS GEIGER ELEMENTARY,Stormfilter,,,,,Basic,media_filter_simple,,,,,,,,,,,,91,0
354,SWFA-100601,SWFA-100601,Media Filter,TACOMA SCHOOLS GEIGER ELEMENTARY,Stormfilter,,,,,Basic,media_filter_simple,,,,,,,,,,,,91,0
355,SWFA-101704,SWFA-101704,Media Filter,,Null,,,,,,media_filter_simple,,,,,,,,,,,,91,0
356,SWFA-100661,SWFA-100661,Media Filter,TACOMA SCHOOLS GRAY MIDDLE SCHOOL,Stormfilter,,,,,Basic,media_filter_simple,,,,,,,,,,,,91,0
357,SWFA-100662,SWFA-100662,Media Filter,TACOMA SCHOOLS GRAY MIDDLE SCHOOL,Stormfilter,,,,,Basic,media_filter_simple,,,,,,,,,,,,91,0
